City1,City2,Distance
"Grand Rapids, MI","Orlando, FL",1024.0
"Fort Myers, FL","Grand Rapids, MI",1147.0
"Fort Myers, FL","Islip, NY",1101.0
"Atlanta, GA","Islip, NY",795.0
"Charlotte Amalie, VI","Orlando, FL",1246.0
"Newburgh/Poughkeepsie, NY","Orlando, FL",989.0
"Orlando, FL","Providence, RI",1072.0
"Orlando, FL","Philadelphia, PA",861.0
"Denver, CO","Philadelphia, PA",1558.0
"Cleveland, OH","Tampa, FL",927.0
"Orlando, FL","Trenton, NJ",896.0
"Trenton, NJ","West Palm Beach/Palm Beach, FL",985.0
"Las Vegas, NV","Miami, FL",2174.0
"Dallas/Fort Worth, TX","San Francisco, CA",1464.0
"Denver, CO","San Francisco, CA",967.0
"Las Vegas, NV","San Francisco, CA",414.0
"Denver, CO","Sacramento, CA",909.0
"Denver, CO","Phoenix, AZ",602.0
"Denver, CO","Tampa, FL",1506.0
"Milwaukee, WI","Tampa, FL",1075.0
"Rochester, NY","Tampa, FL",1079.0
"Islip, NY","West Palm Beach/Palm Beach, FL",1052.0
"Islip, NY","Tampa, FL",1034.0
"Grand Rapids, MI","Tampa, FL",1041.0
"Las Vegas, NV","Tampa, FL",1984.0
"Orlando, FL","Phoenix, AZ",1849.0
"Dallas/Fort Worth, TX","Las Vegas, NV",1055.0
"Dallas/Fort Worth, TX","Phoenix, AZ",868.0
"Las Vegas, NV","Phoenix, AZ",276.0
"Las Vegas, NV","Reno, NV",345.0
"Las Vegas, NV","Orlando, FL",2039.0
"Cleveland, OH","Las Vegas, NV",1824.0
"Cleveland, OH","Fort Myers, FL",1025.0
"Fort Myers, FL","Philadelphia, PA",993.0
"Philadelphia, PA","West Palm Beach/Palm Beach, FL",951.0
"Phoenix, AZ","San Francisco, CA",651.0
"Charlotte, NC","Las Vegas, NV",1916.0
"Denver, CO","Pensacola, FL",1179.0
"Denver, CO","San Antonio, TX",794.0
"Dallas/Fort Worth, TX","Denver, CO",641.0
"Ontario, CA","San Francisco, CA",363.0
"Las Vegas, NV","Oakland, CA",407.0
"Orlando, FL","Rochester, NY",1033.0
